ID;Price;Area;Rooms;Flrs;Baths;Land;YearB;Age;Auto;Public;Inc;PM2_5;Edu;Condtn;Subbrbs
68;950;200;5;2;1;1500;1992;28;75;105;2956,31;17,7;52,82488702;3;Radzymin
69;1400;220;7;2;3;3908;2000;20;80;90;3950,7;17,9;61,80799196;4;Nieporęt
70;1150;152,6;6;2;3;916;2008;12;75;82;3950,7;17,9;61,80799196;3;Nieporęt
71;2600;300;6;1;3;1000;2009;11;80;67;3950,7;17,9;61,80799196;4;Nieporęt
72;2000;279,8;6;1;4;1502;2003;17;70;59;3950,7;17,9;61,80799196;4;Nieporęt
73;699;320;4;1;1;590;2001;19;70;59;3950,7;17,9;61,80799196;1;Nieporęt
74;459;85;3;2;2;95;2003;17;80;58;2426,92;23,3;63,89904981;3;Legionowo
75;799;108,4;4;1;2;679;2008;12;80;65;2426,92;23,3;63,89904981;2;Legionowo
76;660;160;5;3;2;666;1980;40;75;59;2426,92;23,3;63,89904981;1;Legionowo
77;459;92,04;4;2;3;36;2020;0;75;62;2426,92;23,3;63,89904981;;Legionowo
78;999;300;7;2;2;575;1960;60;70;49;2426,92;23,3;63,89904981;3;Legionowo
79;2650;200;6;2;1;1276;1927;93;45;27;2261,96;25,1;57,91313424;;Piastów
80;915;102;6;2;2;722;1972;48;45;37;2261,96;25,1;57,91313424;2;Piastów
81;1150;284;6;1;1;1215;2000;20;45;36;2261,96;25,1;57,91313424;3;Piastów
82;870;115;6;1;2;633;1980;40;60;37;2261,96;25,1;57,91313424;1;Piastów
83;690;176;9;2;3;600;1994;26;55;39;2261,96;25,1;57,91313424;1;Piastów
84;1500;230;12;1;2;1879;1980;40;60;56;4357,33;16,6;66,11179245;2;Izabelin
85;880;185;6;2;2;650;2020;0;55;47;4357,33;16,6;66,11179245;;Izabelin
86;1490;270;6;1;4;1250;2000;20;60;51;4357,33;16,6;66,11179245;2;Izabelin
87;4700;432;9;1;3;2419;2000;20;65;63;4357,33;16,6;66,11179245;4;Izabelin
88;4500;400;6;2;4;2000;2015;5;60;57;4357,33;16,6;66,11179245;4;Izabelin
89;1850;194;5;2;2;540;2006;14;60;61;4357,33;16,6;66,11179245;4;Izabelin
90;3600;275;6;1;1;2393;1990;30;60;57;4357,33;16,6;66,11179245;2;Izabelin
91;2900;280;6;1;4;3700;2004;16;60;63;4357,33;16,6;66,11179245;4;Izabelin
92;1695;250;5;1;3;1030;2006;14;55;62;4575,08;18,6;74,02251632;4;Podkowa Leśna
93;1970;320;7;1;3;2850;1980;40;65;61;4575,08;18,6;74,02251632;4;Podkowa Leśna
94;3750;420;7;1;3;2162;2002;18;65;60;4575,08;18,6;74,02251632;4;Podkowa Leśna
95;1999;350;6;1;2;1800;1999;21;60;67;4575,08;18,6;74,02251632;3;Podkowa Leśna
96;1999;400;5;1;3;2144;2000;20;60;65;4575,08;18,6;74,02251632;4;Podkowa Leśna
97;4300;600;10;1;4;3410;1910;110;60;62;4575,08;18,6;74,02251632;;Podkowa Leśna
98;1899;205;5;1;3;1805;1990;30;55;60;4575,08;18,6;74,02251632;4;Podkowa Leśna
99;3450;400;7;1;4;1500;2007;13;60;59;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
100;1490;254;6;1;4;1200;BRAK;BRAK;70;77;4973,12;18,1;64,69893147;;Konstancin-Jeziorna
101;4850;478,9;6;1;6;1967;2013;7;60;61;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
102;3500;397;6;1;3;1520;2009;11;60;59;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
103;2550;220;7;3;3;600;2020;0;60;60;4973,12;18,1;64,69893147;;Konstancin-Jeziorna
104;4900;550;7;4;5;935;2020;0;65;60;4973,12;18,1;64,69893147;5;Konstancin-Jeziorna
105;5200;240;5;1;2;2011;2017;3;65;68;4973,12;18,1;64,69893147;5;Konstancin-Jeziorna
106;2600;280;5;1;2;569;2002;18;60;59;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
107;1900;304;6;2;2;800;2018;2;65;66;4973,12;18,1;64,69893147;1;Konstancin-Jeziorna
108;2950;340;7;2;4;820;2009;11;55;61;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
109;1700;301;5;1;3;586;2020;0;65;71;4973,12;18,1;64,69893147;;Konstancin-Jeziorna
110;4900;368;9;2;5;935;2007;13;60;59;4973,12;18,1;64,69893147;5;Konstancin-Jeziorna
111;2100;220;6;1;2;710;2009;11;60;54;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
112;1650;301;5;1;3;645;2020;0;65;71;4973,12;18,1;64,69893147;;Konstancin-Jeziorna
113;1495;245;5;1;3;1850;2020;0;75;77;4973,12;18,1;64,69893147;;Konstancin-Jeziorna
114;2999;450;9;1;3;2500;1990;30;70;70;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
115;998;201,54;6;2;2;379;1999;21;65;70;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
116;19500;1086;10;1;7;9268;2000;20;70;63;4973,12;18,1;64,69893147;5;Konstancin-Jeziorna
117;3090;200;10;2;3;2798;1990;30;70;79;4973,12;18,1;64,69893147;5;Konstancin-Jeziorna
118;2000;420;6;1;3;720;1996;24;60;54;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
119;1400;240;8;1;2;1065;2001;19;75;95;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
120;1650;562,45;12;1;3;2100;1998;22;70;91;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
121;2290;300;8;3;5;2500;1992;28;70;85;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
122;2200;193,3;6;1;2;1046;2000;20;60;76;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
123;3000;450;6;1;2;2500;1994;26;70;75;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
124;2000;290,3;7;1;2;847;2012;8;65;70;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
125;1398;138;4;1;2;515;2019;1;60;69;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
126;2480;280;5;2;3;2250;1997;23;75;87;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
127;3550;396,5;10;1;4;2870;2000;20;70;73;4973,12;18,1;64,69893147;2;Konstancin-Jeziorna
128;4940;395;6;1;2;1701;2009;11;65;70;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
129;3100;446;7;1;3;2798;1993;27;70;80;4973,12;18,1;64,69893147;2;Konstancin-Jeziorna
130;1900;342,26;6;1;4;925;1997;23;65;76;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
131;2290;380;9;1;3;2500;1995;25;65;82;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
132;2775;195,9;5;1;3;869;2008;12;60;54;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
